,ano,combustivel,cor,km,motor,portas,preco,tipo,titulo
0,2018,Flex,Preto,30.640,2.0 - 2.9,2 portas,R$ 85.900,Passeio,Creta 2.0 16V Flex Sport Automático  - 2018
1,2018,Flex,Branco,25.600,1.6,4 portas,R$ 38.500,Sedã,Volkswagen voyage 2018  - 2018
2,89.555,Manual,Sim,Mecânica,1.0,4 portas,R$ 11.500,Gasolina,Clio ar condicionado  - 2003
3,Gasolina,400,Não,Manual,2.0 - 2.9,4 portas,R$ 11.500,2000,Parati G3 versão ilimitada  - 2000
4,2013,Flex,Prata,60.000,1.6,4 portas,R$ 33.900,Passeio,SANDERO STEPWAY Hi-Flex 1.6 8V 5P  - 2013
5,Flex,25.300,Sim,Manual,1.6,4 portas,R$ 63.990,2018,Nissan kicks 2018  - 2018
6,Flex,0,Sim,Hidráulica,1.8,4 portas,R$ 17.999,2008,Meriva 2008 1.8 GNV completa.(EXTRA)  - 2008
7,Flex,39,Sim,Manual,1.4,2 portas,R$ 34.500,2015,Excelente oportunidade  - 2015
8,1980,Gás Natural,Azul,100.000,1.6,2 portas,R$ 25.999,Passeio,Jeep Willys 4x4 (fibra) 1978 com DH e GNV 
9,2014,Flex,Branco,70.000,1.6,4 portas,R$ 35.900,Passeio,Hb20X Style 1.6 Flex 16v Mec.  - 2014
10,2010,Flex,Prata,12.155,1.0,4 portas,R$ 16.500,Sedã,Classic 2010 com  - 2010
11,2015,Flex,Branco,40.000,1.4,2 portas,R$ 33.900,Van/Utilitário,Strada 2015 40000 rodado  - 2015
12,2018,Flex,Preto,61.500,1.0,4 portas,R$ 40.990,Sedã,Versa Conforto 1.0 2018  - 2018
13,2015,Gás Natural,Branco,104.000,1.4,2 portas,R$ 26.800,Pick-up,Montana ls 1.4 completa 2015  - 2015
14,Flex,70.265,Sim,Manual,1.0,4 portas,R$ 34.900,2018,Sandero Authentique 1.0 SCE  - 2018
15,Flex,0,Não,Automático,2.0 - 2.9,4 portas,R$ 36.990,2014,Hyundai Tucson 2014 GLSB 2.0  - 2014
16,2016,Flex,Sim,37.597,2.0 - 2.9,4 portas,R$ 74.900,SUV,Sportage lx 4x4 2016  - 2016
17,2016,Flex,Branco,53.600,1.6,4 portas,R$ 30.990,Hatch,Vw - Volkswagen Gol  - 2016
18,2014,Flex,Cinza,73,1.0,4 portas,R$ 28.900,Passeio,Palio attractive único dono impecável!  - 2014
19,2011,Flex,Verde,60.000,1.4,4 portas,R$ 21.990,Hatch,"Agile LTZ 1.4 8v Flex 2011 Completo, Entrada 2.000 + parcelas 755,00  - 2011"
20,2014,Flex,Branco,97.800,1.8,4 portas,R$ 41.990,Van/Utilitário,Gm/Spin Ltz 1.8 7Lugares !!!  - 2014
21,2017,Flex,Vermelho,46.000,1.6,4 portas,R$ 40.900,Passeio,Fox RUN 1.6 Flex 8V 5p  - 2017
22,Flex,68.000,Sim,Automático,2.0 - 2.9,4 portas,R$ 46.500,2015,Tucson 2.0 GLS 16V 143CV 2WD Flex 4P Automático  - 2015
23,2016,Flex,Branco,37.000,1.6,4 portas,R$ 40.990,Hatch,Ford New Fiesta Hatch SE 1.6 manual extra!  - 2016
24,2018,Flex,Branco,11.552,1.0,4 portas,R$ 38.900,Hatch,HB20 Confort 1.0 2018  - 2018
25,2018,Flex,Branco,33.600,1.0,4 portas,R$ 32.900,Hatch,Vw - Volkswagen Gol  - 2018
26,Flex,60.969,Sim,Manual,1.6,2 portas,R$ 14.500,2009,FORD KA 1.6 COMPLETO (Apenas 60mil km)  - 2009
27,2010,Flex,Prata,82.000,1.0,4 portas,R$ 18.400,Hatch,Picanto 2010 1.0 Ex completo extra  - 2010
28,Flex,31.000,Sim,Automático,1.0,4 portas,R$ 67.900,2018,Vw Virtus Confortline  - 2018
29,Gás Natural,300,Não,Manual,2.0 - 2.9,1,R$ 9.990,1995,Vw passat 1995 com gnv  - 1995
30,2011,Gasolina,Branco,178.000,1.0,2 portas,R$ 13.000,Van/Utilitário,Hafei Towner JR Baú  - 2011
31,2009,Gasolina,Azul,128,2.0 - 2.9,4 portas,R$ 32.500,SUV,Grand Vitara 2009 Manual  - 2009
32,2018,Flex,Branco,28.000,1.8,4 portas,R$ 58.900,Passeio,COBALT LTZ 1.8 8V Econo.Flex 4P Aut.  - 2018
33,2015,Flex,Prata,79.000,1.8,4 portas,R$ 52.990,Sedã,Civic 2015 LXS AUTOMÁTICO  - 2015
34,2019,Flex,Prata,49.397,1.6,4 portas,R$ 46.890,Passeio,Renault Sandero 1.6 16v sce flex stepway expression manual  - 2019
35,Flex,8.200,Sim,Manual,1.4,2 portas,R$ 43.500,2018,Strada  - 2018
36,2017,Flex,Preto,67.000,1.4,4 portas,R$ 48.990,Hatch,Onix LTZ 1.4 6 Marchas | Único Dono | Igual as Fotos | Extra | Emplacado 2019 | Revisado  - 2017
37,2014,Gasolina,Prata,47.700,1.6,2 portas,R$ 39.900,Passeio,Hb20x Premium 1.6 Flex 16v Aut.  - 2014
